;PC Software:StarLab Version 3.60 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:27/05/2021 at 13:18:42
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE25-C (s/n:963165)  FU1.30 (s/n:957840)

;Channel A:Details
;Name:PE25-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1053
;Settings:Range:20.0mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:10uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:7.910mJ             
;Max:9.290mJ             
;Average:8.763mJ             
;Std.Dev.:166.2uJ             
;Overrange:0                   
;Total Pulses:75387               
;--------------------


;First Pulse Arrived : 27/05/2021 at 13:18:53
    Timestamp    	  Channel A  	
        57.383583	  8.766e-03 	
        57.583525	  8.818e-03 	
        57.783469	  8.748e-03 	
        57.983411	  8.486e-03 	
        58.183354	  8.906e-03 	
        58.383297	  8.644e-03 	
        58.583239	  8.644e-03 	
        58.783183	  8.731e-03 	
        58.983124	  8.906e-03 	
        59.183068	  8.766e-03 	
        59.383010	  8.539e-03 	
        59.582954	  8.451e-03 	
        59.782896	  8.434e-03 	
        59.982840	  8.661e-03 	
        60.182782	  8.556e-03 	
        60.382726	  8.451e-03 	
        60.582668	  8.713e-03 	
        60.782610	  8.731e-03 	
        60.982553	  8.609e-03 	
        61.182496	  8.888e-03 	
        61.382439	  8.469e-03 	
        61.582381	  8.679e-03 	
        61.782324	  8.818e-03 	
        61.982267	  9.045e-03 	
        62.182209	  8.783e-03 	
        62.382153	  8.906e-03 	
        62.582095	  8.731e-03 	
        62.782039	  8.958e-03 	
        62.981981	  8.923e-03 	
        63.181924	  8.731e-03 	
        63.381867	  8.976e-03 	
